ERROR 2025-09-08 17:08:22,818 apps Failed to start JWT Scanner Auto-Service after migrate: The api_key client option must be set either by passing api_key to the client or by setting the OPENAI_API_KEY environment variable
INFO 2025-09-08 17:08:22,843 startup_service Shutting down JWT Scanner auto-service...
INFO 2025-09-15 20:04:00,384 startup_service Created system user: jwt_scanner_auto
INFO 2025-09-15 20:04:00,384 startup_service JWT Scanner monitoring started
INFO 2025-09-15 20:04:00,384 startup_service JWT Scanner auto-service started (interval: 30s)
INFO 2025-09-15 20:04:00,384 apps JWT Scanner Auto-Service started successfully (post_migrate)
INFO 2025-09-15 20:04:00,387 startup_service Shutting down JWT Scanner auto-service...
INFO 2025-09-16 14:31:25,470 startup_service JWT Scanner monitoring started
INFO 2025-09-16 14:31:25,470 startup_service JWT Scanner auto-service started (interval: 30s)
INFO 2025-09-16 14:31:25,471 apps JWT Scanner Auto-Service started successfully (post_migrate)
INFO 2025-09-16 14:31:25,482 startup_service Shutting down JWT Scanner auto-service...
INFO 2025-09-16 14:34:19,781 startup_service JWT Scanner monitoring started
INFO 2025-09-16 14:34:19,781 startup_service JWT Scanner auto-service started (interval: 30s)
INFO 2025-09-16 14:34:19,781 apps JWT Scanner Auto-Service started successfully (post_migrate)
INFO 2025-09-16 14:34:19,793 startup_service Shutting down JWT Scanner auto-service...
INFO 2025-09-16 17:08:59,697 startup_service JWT Scanner monitoring started
INFO 2025-09-16 17:08:59,697 startup_service JWT Scanner auto-service started (interval: 30s)
INFO 2025-09-16 17:08:59,697 apps JWT Scanner Auto-Service started successfully (post_migrate)
INFO 2025-09-16 17:08:59,697 startup_service Shutting down JWT Scanner auto-service...
INFO 2025-09-23 16:23:15,566 startup_service JWT Scanner monitoring started
INFO 2025-09-23 16:23:15,566 startup_service JWT Scanner auto-service started (interval: 30s)
INFO 2025-09-23 16:23:15,566 apps JWT Scanner Auto-Service started successfully (post_migrate)
INFO 2025-09-23 16:23:15,581 startup_service Shutting down JWT Scanner auto-service...
ERROR 2025-09-25 12:39:17,224 views Error in scan initiation: relation "api2_scan_sessions" does not exist
LINE 1: ...d_by_id", "api2_scan_sessions"."scan_config" FROM "api2_scan...
                                                             ^

INFO 2025-09-25 12:41:38,718 startup_service JWT Scanner monitoring started
INFO 2025-09-25 12:41:38,719 startup_service JWT Scanner auto-service started (interval: 30s)
INFO 2025-09-25 12:41:38,719 apps JWT Scanner Auto-Service started successfully (post_migrate)
INFO 2025-09-25 12:41:38,729 startup_service Shutting down JWT Scanner auto-service...
INFO 2025-09-25 12:41:43,385 apps Vulnerability types TC5 setup completed successfully!
INFO 2025-09-25 12:41:43,386 apps Auto-populating vulnerability templates...
INFO 2025-09-25 12:41:43,393 apps Vulnerability templates populated successfully!
ERROR 2025-09-25 12:50:31,494 services Error testing API Verify JWT Token: No module named 'api_2.utils.credential_generator'; 'api_2.utils' is not a package
ERROR 2025-09-25 12:50:31,494 services Error testing API SearchMailOTP: No module named 'api_2.utils.credential_generator'; 'api_2.utils' is not a package
ERROR 2025-09-25 12:50:31,494 services Error testing API Forgot Password: No module named 'api_2.utils.credential_generator'; 'api_2.utils' is not a package
ERROR 2025-09-25 12:50:31,494 services Error testing API Signup example.com: No module named 'api_2.utils.credential_generator'; 'api_2.utils' is not a package
ERROR 2025-09-25 12:50:31,495 services Error testing API Login: No module named 'api_2.utils.credential_generator'; 'api_2.utils' is not a package
